time,Vin,Vout
0.00335,0.00795,-0.2370000000000001
0.00337,0.00715,-0.21700000000000008
0.00339,0.00624,-0.18699999999999983
0.00341,0.00523,-0.15700000000000003
0.00343,0.00415,-0.12699999999999978
0.00345,0.003,-0.08699999999999974
0.00349,0.000596,-0.016999999999999904
0.00353,-0.00185,0.052999999999999936
0.00355,-0.00304,0.09299999999999997
0.00357,-0.00418,0.12300000000000022
0.00359,-0.00526,0.15300000000000002
0.00361,-0.00626,0.18300000000000027
0.00363,-0.00717,0.21300000000000008
0.00365,-0.00797,0.2330000000000001
0.00367,-0.00865,0.2530000000000001
0.00369,-0.0092,0.2629999999999999
0.00371,-0.00961,0.27300000000000013
0.00372,-0.00988,0.2829999999999999
0.00374,-0.00999,0.29300000000000015
0.00376,-0.00997,0.2829999999999999
0.00378,-0.00979,0.2829999999999999
0.0038,-0.00947,0.27300000000000013
0.00382,-0.00901,0.2629999999999999
0.00384,-0.00841,0.24299999999999988
0.00386,-0.00768,0.22299999999999986
0.00388,-0.00684,0.20299999999999985
0.0039,-0.0059,0.17300000000000004
0.00392,-0.00486,0.14300000000000024
0.00394,-0.00376,0.11299999999999999
0.00396,-0.00259,0.07299999999999995
0.004,-0.00017,0.0030000000000001137
0.00404,0.00226,-0.06699999999999973
0.00406,0.00344,-0.10699999999999976
0.00408,0.00456,-0.137
0.00409,0.00562,-0.16699999999999982
0.00411,0.00659,-0.19700000000000006
0.00413,0.00746,-0.22699999999999987
0.00415,0.00822,-0.2469999999999999
0.00417,0.00885,-0.2669999999999999
0.00419,0.00936,-0.2869999999999999
0.00421,0.00972,-0.29700000000000015
0.00423,0.00993,-0.30699999999999994
0.00425,0.01,-0.30699999999999994
0.00426,0.00996,-0.30699999999999994
0.00428,0.00978,-0.29700000000000015
0.0043,0.00945,-0.2869999999999999
0.00432,0.00898,-0.27700000000000014
0.00434,0.00837,-0.2570000000000001
0.00436,0.00764,-0.22699999999999987
0.00438,0.00679,-0.20699999999999985
0.0044,0.00584,-0.17700000000000005
0.00442,0.0048,-0.1469999999999998
0.00444,0.00369,-0.10699999999999976
0.00446,0.00253,-0.07699999999999996
0.0045,9.93e-05,-0.007000000000000117
0.00454,-0.00233,0.07299999999999995
0.00456,-0.00351,0.1030000000000002
0.00458,-0.00463,0.133
0.0046,-0.00568,0.16300000000000026
0.00462,-0.00664,0.19300000000000006
0.00464,-0.00751,0.22299999999999986
0.00465,-0.00826,0.24299999999999988
0.00467,-0.00889,0.2530000000000001
0.00469,-0.00938,0.27300000000000013
0.00471,-0.00973,0.2829999999999999
0.00473,-0.00994,0.2829999999999999
0.00475,-0.01,0.29300000000000015
0.00476,-0.00996,0.2829999999999999
0.00478,-0.00977,0.2829999999999999
0.0048,-0.00943,0.27300000000000013
0.00482,-0.00896,0.2629999999999999
0.00484,-0.00835,0.24299999999999988
0.00486,-0.00761,0.22299999999999986
0.00488,-0.00676,0.19300000000000006
0.0049,-0.0058,0.17300000000000004
0.00492,-0.00476,0.14300000000000024
0.00494,-0.00365,0.1030000000000002
0.00496,-0.00248,0.07299999999999995
0.00502,0.00117,-0.03699999999999992
0.00504,0.00237,-0.06699999999999973
0.00506,0.00355,-0.10699999999999976
0.00508,0.00466,-0.137
0.0051,0.00571,-0.17700000000000005
0.00512,0.00667,-0.19700000000000006
0.00514,0.00753,-0.22699999999999987
0.00516,0.00828,-0.2469999999999999
0.00517,0.00891,-0.2669999999999999
0.00519,0.0094,-0.2869999999999999
0.00521,0.00974,-0.29700000000000015
0.00523,0.00995,-0.30699999999999994
0.00525,0.01,-0.30699999999999994
0.00527,0.00995,-0.30699999999999994
0.00529,0.00976,-0.29700000000000015
0.0053,0.00942,-0.2869999999999999
0.00532,0.00893,-0.2669999999999999
0.00534,0.00832,-0.2570000000000001
0.00536,0.00757,-0.22699999999999987
0.00538,0.00672,-0.20699999999999985
0.0054,0.00576,-0.17700000000000005
0.00542,0.00472,-0.137
0.00544,0.0036,-0.10699999999999976
0.00546,0.00243,-0.06699999999999973
0.00552,-0.00122,0.03299999999999992
0.00554,-0.00243,0.07299999999999995
0.00556,-0.0036,0.1030000000000002
0.00558,-0.00471,0.14300000000000024
0.0056,-0.00576,0.17300000000000004
0.00562,-0.00671,0.19300000000000006
0.00564,-0.00757,0.22299999999999986
0.00566,-0.00831,0.24299999999999988
0.00568,-0.00893,0.2629999999999999
0.0057,-0.00941,0.27300000000000013
0.00571,-0.00976,0.2829999999999999
0.00573,-0.00995,0.2829999999999999
0.00575,-0.01,0.29300000000000015
0.00577,-0.00994,0.2829999999999999
0.00579,-0.00972,0.2829999999999999
0.00581,-0.00937,0.27300000000000013
0.00583,-0.00887,0.2530000000000001
0.00585,-0.00824,0.24299999999999988
0.00587,-0.00748,0.21300000000000008
0.00589,-0.00661,0.19300000000000006
0.0059,-0.00564,0.16300000000000026
0.00592,-0.00459,0.133
0.00594,-0.00347,0.1030000000000002
0.00596,-0.00229,0.06300000000000017
0.00602,0.00136,-0.03699999999999992
0.00604,0.00257,-0.07699999999999996
0.00606,0.00373,-0.10699999999999976
0.00608,0.00484,-0.1469999999999998
